;Year;Month;Day;Name;Location;Country;Latitude;Longitude;Elevation;Type;VEI;Deaths
417;1923;7;1;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield volcano;2;1
418;1924;5;10;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;2;1
419;1926;5;24;Tokachi;Hokkaido-Japan;Japan;43.42;142.68;2077;Stratovolcano;3;144
420;1927;8;7;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;;
421;1927;9;5;Esjufjoll;Iceland-SE;Iceland;64.27;-16.65;1760;Stratovolcano;1;1
422;1928;1;23;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;2;48
423;1928;1;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;3;
424;1928;3;28;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;;
425;1928;5;13;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;2;40
426;1928;8;4;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;3;98
427;1928;11;2;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;1;5
428;1929;1;6;Calbuco;Chile-S;Chile;-41.326;-72.614;2003;Stratovolcano;3;
429;1929;6;17;Komaga-take;Hokkaido-Japan;Japan;42.07;140.68;1140;Stratovolcano;4;2
430;1929;8;2;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;2;2
431;1929;11;2;Santa Maria;Guatemala;Guatemala;14.756;-91.552;3772;Stratovolcano;3;200
432;1930;3;17;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;2;
433;1930;8;20;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;3;6
434;1930;9;11;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;3;5
435;1930;12;18;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;3;1369
436;1931;8;20;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;3;3
437;1932;1;21;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;4;
438;1932;2;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;;
439;1932;10;1;Kusatsu-Shirane;Honshu-Japan;Japan;36.62;138.55;2176;Stratovolcano;3;2
440;1933;1;8;Kharimkotan;Kuril Is;Russia;49.12;154.508;1145;Stratovolcano;3;
441;1933;5;10;Hakone;Honshu-Japan;Japan;35.22;139.02;1438;Complex volcano;;1
442;1933;12;24;Kuchinoerabu-jima;Ryukyu Is;Japan;30.43;130.22;649;Stratovolcano;4;8
443;1933;12;25;Bulusan;Luzon-Philippines;Philippines;12.77;124.05;1565;Stratovolcano;2;
444;1934;;;Hood;US-Oregon;United States;45.374;-121.694;3426;Stratovolcano;;1
445;1936;2;;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;3;2
446;1937;2;9;Llaima;Chile-C;Chile;-38.692;-71.729;3125;Stratovolcano;2;3
447;1937;5;29;Rabaul;New Britain-SW Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic shield;4;507
"448;1938;1;28;Nyamuragira;Africa-C;""Congo; DRC"";-1.408;29.2;3058;Shield volcano;1;"
449;1938;5;9;Bandai;Honshu-Japan;Japan;37.6;140.08;1819;Stratovolcano;;2
450;1938;6;5;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;2;
451;1938;7;16;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;1;
452;1939;7;24;Kick-'em-Jenny;W Indies;Netherlands;12.3;-61.63;-177;Submarine volcano;1;
453;1939;8;17;Tori-shima;Izu Is-Japan;Japan;30.48;140.32;403;Stratovolcano;2;2
454;1939;10;13;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;1;10
455;1940;6;20;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;2;1
456;1940;7;12;Miyake-jima;Izu Is-Japan;Japan;34.08;139.53;815;Stratovolcano;2;11
"457;1940;7;24;""Lengai; Ol Doinyo"";Africa-E;Tanzania;-2.751;35.902;2890;Stratovolcano;2;"
458;1941;7;13;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;2;1
459;1941;9;21;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;2;
460;1943;2;20;Michoacan-Guanajuato;Mexico;Mexico;19.48;-102.25;3860;Cinder cone;4;3
"461;1943;4;13;""Azul; Cerro"";Galapagos;Ecuador;-.9;-91.42;1690;Shield volcano;3;1"
462;1944;3;27;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;2;27
463;1944;6;10;Cleveland;Aleutian Is;United States;52.82;-169.95;1730;Stratovolcano;3;1
464;1944;6;23;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;2;1
465;1944;8;20;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;2;
466;1944;8;26;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;2;1
467;1944;12;4;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;2;117
468;1946;1;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;2;1
469;1946;2;;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;2;6
470;1946;10;29;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;2;
471;1946;11;13;Sarychev Peak;Kuril Is;Russia;48.092;153.2;1496;Stratovolcano;4;
472;1947;1;7;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;2;
473;1947;7;6;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;2;11
474;1947;9;16;Akagi;Honshu-Japan;Japan;36.53;139.18;1828;Stratovolcano;;699
475;1947;11;2;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;1
476;1948;4;7;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex volcano;2;
477;1949;1;1;Villarrica;Chile-C;Chile;-39.42;-71.93;2847;Stratovolcano;3;54
478;1949;5;26;Purace;Colombia;Colombia;2.32;-76.4;4650;Stratovolcano;2;17
479;1949;6;;Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332;Stratovolcano;3;2
480;1950;8;28;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;1;6
481;1950;9;15;Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332;Stratovolcano;3;68
482;1950;9;23;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;2;1
483;1951;1;21;Lamington;New Guinea;Papua New Guinea;-8.95;148.15;1680;Stratovolcano;4;2942
484;1951;8;3;Cosiguina;Nicaragua;Nicaragua;12.98;-87.57;872;Stratovolcano;;
485;1951;8;31;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;3;7
486;1951;11;5;Hakone;Honshu-Japan;Japan;35.22;139.02;1438;Complex volcano;;2
487;1951;12;4;Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332;Stratovolcano;3;500
488;1951;;;Kavachi;Solomon Is-SW Pacifi;Solomon Is.;-9.02;157.95;-20;Submarine volcano;2;
489;1952;3;27;Hakone;Honshu-Japan;Japan;35.22;139.02;1438;Complex volcano;;1
490;1952;9;16;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine volcano;2;
491;1952;9;23;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine volcano;2;
492;1952;9;24;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine volcano;2;31
493;1952;9;26;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine volcano;2;
494;1952;;;Ambalatungan Group;Luzon-Philippines;Philippines;17.32;121.1;2329;Compound volcano;1;12
495;1953;3;11;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine volcano;2;
496;1953;3;23;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;3;64
497;1953;3;25;Myojun Knoll;Izu Is-Japan;Japan;32.1;139.85;360;Submarine volcano;2;
498;1953;4;27;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;2;6
499;1953;6;27;St. Andrew Strait;Admiralty Is-SW Paci;Papua New Guinea;-2.38;147.35;270;Complex volcano;0;
500;1953;6;;Sirung;Lesser Sunda Is;Indonesia;-8.51;124.148;862;Complex volcano;0;5
501;1953;7;26;Hakone;Honshu-Japan;Japan;35.22;139.02;1438;Complex volcano;;10
502;1953;10;5;Oshima;Izu Is-Japan;Japan;34.73;139.38;758;Stratovolcano;1;1
503;1953;12;24;Ruapehu;New Zealand;New Zealand;-39.28;175.57;2797;Stratovolcano;;151
504;1954;2;;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;;
505;1954;7;21;Tate-yama;Honshu-Japan;Japan;36.57;137.6;2621;Stratovolcano;;1
506;1954;8;3;Bam;New Guinea-NE of;Papua New Guinea;-3.6;144.85;685;Stratovolcano;2;
507;1954;;;Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332;Stratovolcano;;2
508;1955;7;26;Carran-Los Venados;Chile-C;Chile;-40.35;-72.07;1114;Pyroclastic cone;4;2
509;1955;10;13;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;3;
510;1956;3;30;Bezymianny;Kamchatka;Russia;55.978;160.587;2882;Stratovolcano;5;
511;1957;3;11;Vsevidof;Aleutian Is;United States;53.13;-168.68;2149;Stratovolcano;2;
512;1957;7;;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex volcano;;13
513;1957;8;;Oshima;Izu Is-Japan;Japan;34.73;139.38;758;Stratovolcano;2;1
514;1957;10;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;2;12
515;1958;7;12;Mahawu;Sulawesi-Indonesia;Indonesia;1.358;124.858;1324;Stratovolcano;2;1
516;1958;7;21;Daisetsu;Hokkaido-Japan;Japan;43.68;142.88;2290;Stratovolcano;;2
517;1958;10;7;Kuwae;Vanuatu-SW Pacific;Vanuatu;-16.829;168.536;-2;Caldera;2;
518;1960;5;25;Puyehue;Chile-C;Chile;-40.59;-72.117;2236;Stratovolcano;3;
519;1961;1;25;Calbuco;Chile-S;Chile;-41.326;-72.614;2003;Stratovolcano;3;
520;1961;4;23;Tate-yama;Honshu-Japan;Japan;36.57;137.6;2621;Stratovolcano;;1
521;1961;5;8;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;3;6
522;1961;6;18;Daisetsu;Hokkaido-Japan;Japan;43.68;142.88;2290;Stratovolcano;;2
523;1961;8;18;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;2;1
524;1962;6;29;Tokachi;Hokkaido-Japan;Japan;43.42;142.68;2077;Stratovolcano;3;5
525;1962;10;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;;2
526;1962;12;31;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;2;5
527;1963;3;17;Irazu;Costa Rica;Costa Rica;9.979;-83.852;3432;Stratovolcano;3;15
528;1963;3;18;Agung;Lesser Sunda Is;Indonesia;-8.342;115.508;3142;Stratovolcano;5;1028
529;1963;5;5;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;2;1
530;1963;5;16;Agung;Lesser Sunda Is;Indonesia;-8.342;115.508;3142;Stratovolcano;3;120
531;1963;5;21;Villarrica;Chile-C;Chile;-39.42;-71.93;2847;Stratovolcano;2;
532;1963;9;5;Batur;Lesser Sunda Is;Indonesia;-8.242;115.375;1717;Caldera;2;2
533;1963;9;28;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;3;7
534;1963;12;10;Irazu;Costa Rica;Costa Rica;9.979;-83.852;3432;Stratovolcano;3;40
535;1964;1;1;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;2;1
536;1964;3;3;Villarrica;Chile-C;Chile;-39.42;-71.93;2847;Stratovolcano;2;25
537;1964;12;13;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;1;114
538;1965;9;28;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;4;355
539;1965;10;24;Kick-'em-Jenny;W Indies;Netherlands;12.3;-61.63;-177;Submarine volcano;0;
540;1966;1;13;Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;-10.38;165.8;851;Stratovolcano;3;
541;1966;4;26;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;4;215
542;1966;8;12;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;4;39
"543;1966;8;14;""Lengai; Ol Doinyo"";Africa-E;Tanzania;-2.751;35.902;2890;Stratovolcano;4;"
"544;1967;7;8;""Lengai; Ol Doinyo"";Africa-E;Tanzania;-2.751;35.902;2890;Stratovolcano;3;"
545;1967;8;31;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;3;3
546;1967;12;4;Deception Island;Antarctica;Antarctica;-62.97;-60.65;576;Caldera;3;
547;1968;4;21;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;3;6
548;1968;7;29;Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657;Stratovolcano;3;80
549;1969;1;7;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;2;3
550;1969;1;28;Iya;Lesser Sunda Is;Indonesia;-8.88;121.63;637;Stratovolcano;3;2
551;1969;3;21;Didicas;Luzon-N of;Philippines;19.077;122.202;244;Compound volcano;2;
552;1969;8;26;Narugo;Honshu-Japan;Japan;38.73;140.73;462;Caldera;;1
553;1970;3;2;Campi Flegrei;Italy;Italy;40.827;14.139;458;Caldera;;3
554;1970;5;5;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;3;
"555;1971;8;12;""Hudson; Cerro"";Chile-S;Chile;-45.9;-72.97;1905;Stratovolcano;3;5"
556;1971;9;6;Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;-10.38;165.8;851;Stratovolcano;2;
557;1971;9;14;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;3;10
558;1971;10;26;La Palma;Canary Is;Spain;28.58;-17.83;2426;Stratovolcano;2;
559;1971;10;29;Villarrica;Chile-C;Chile;-39.42;-71.93;2847;Stratovolcano;2;15
560;1971;12;27;Kusatsu-Shirane;Honshu-Japan;Japan;36.62;138.55;2176;Stratovolcano;;6
"561;1972;6;9;""Fournaise; Piton de la"";Indian O-W;Reunion;-21.229;55.713;2631;Shield volcano;2;3"
562;1972;10;2;Hakone;Honshu-Japan;Japan;35.22;139.02;1438;Complex volcano;;2
563;1972;10;9;Ritter Island;New Guinea-NE of;Papua New Guinea;-5.52;148.121;140;Stratovolcano;1;
564;1973;1;27;Vestmannaeyjar;Iceland-S;Iceland;63.43;-20.28;279;Submarine volcano;3;1
565;1973;1;;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;3;
"566;1973;4;5;""Hudson; Cerro"";Chile-S;Chile;-45.9;-72.97;1905;Stratovolcano;;2"
567;1973;12;5;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex volcano;2;2
568;1974;2;11;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;3;4
569;1974;6;17;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;3;3
570;1974;7;28;Niigata-Yake-yama;Honshu-Japan;Japan;36.92;138.03;2400;Lava dome;2;3
571;1974;8;9;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;3;5
572;1974;10;10;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;4;
573;1974;10;17;Ritter Island;New Guinea-NE of;Papua New Guinea;-5.52;148.121;140;Stratovolcano;1;
574;1974;10;22;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;2;9
575;1975;1;;Marapi;Sumatra;Indonesia;-.381;100.473;2891;Complex volcano;2;80
576;1975;6;17;Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657;Stratovolcano;3;2
577;1975;11;29;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;0;
578;1976;8;3;Kusatsu-Shirane;Honshu-Japan;Japan;36.62;138.55;2176;Stratovolcano;;3
579;1976;8;12;Sangay;Ecuador;Ecuador;-2.03;-78.33;5230;Stratovolcano;3;2
580;1976;8;31;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;2;119
581;1976;9;15;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;2;1
582;1976;11;25;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;2;29
"583;1977;1;10;Nyiragongo;Africa-C;""Congo; DRC"";-1.52;29.25;3470;Stratovolcano;1;"
584;1977;4;5;Karthala;Indian O-W;Comoros;-11.75;43.38;2361;Shield volcano;0;
585;1977;4;27;Krafla;Iceland-NE;Iceland;65.73;-16.78;650;Caldera;1;
586;1977;8;2;Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835;Stratovolcano;3;1
587;1977;8;7;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;3;3
588;1978;1;13;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;3;3
589;1978;7;29;Bulusan;Luzon-Philippines;Philippines;12.77;124.05;1565;Stratovolcano;2;
590;1978;9;2;Santa Maria;Guatemala;Guatemala;14.756;-91.552;3772;Stratovolcano;3;1
591;1978;9;19;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;3;12
592;1978;;;Tangkubanparahu;Java;Indonesia;-6.77;107.6;2084;Stratovolcano;;3
593;1979;2;20;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;1;149
594;1979;3;8;Karkar;New Guinea-NE of;Papua New Guinea;-4.649;145.964;1839;Stratovolcano;2;2
595;1979;4;13;Soufriere St. Vincent;W Indies;St. Vincent & the Grenadines;13.33;-61.18;1220;Stratovolcano;3;2
596;1979;7;5;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;2;9
597;1979;7;18;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex volcano;;
598;1979;9;6;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;2;3
599;1980;5;18;St. Helens;US-Washington;United States;46.2;-122.18;2549;Stratovolcano;5;57
600;1980;8;17;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;3;
601;1980;12;25;Hood;US-Oregon;United States;45.374;-121.694;3426;Stratovolcano;;1
602;1981;3;17;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;2;
603;1981;3;29;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;3;1
604;1981;4;27;Alaid;Kuril Is;Russia;50.858;155.55;2339;Stratovolcano;2;
605;1981;5;14;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;3;372
606;1981;6;30;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;;200
607;1981;9;5;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;2;
608;1981;;;Vilyuchik;Kamchatka;Russia;52.68;158.3;2173;Stratovolcano;;
"609;1982;3;29;""Chichon; El"";Mexico;Mexico;17.36;-93.228;1150;Tuff cone;5;1879"
"610;1982;4;4;""Chichon; El"";Mexico;Mexico;17.36;-93.228;1150;Tuff cone;5;33"
611;1982;5;17;Galunggung;Java;Indonesia;-7.25;108.05;2168;Stratovolcano;4;68
"612;1982;5;27;""Chichon; El"";Mexico;Mexico;17.36;-93.228;1150;Tuff cone;5;1"
613;1983;3;8;Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835;Stratovolcano;2;1
614;1983;7;23;Colo [Una Una];Sulawesi-Indonesia;Indonesia;-.17;121.608;507;Stratovolcano;4;
615;1983;8;17;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex volcano;1;
616;1983;10;3;Miyake-jima;Izu Is-Japan;Japan;34.08;139.53;815;Stratovolcano;3;
617;1984;8;15;Oku Volc Field;Africa-W;Cameroon;6.25;10.5;3011;Maar;;37
618;1984;9;9;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;3;1
